concept:name,case:concept:name
A,37
A,50
J,41
H,46
H,43
D,53
B,49
F,47
C,28
M,30
G,44
H,38
E,51
A,42
C,52
D,54
B,37
K,45
H,48
D,50
C,49
L,41
A,56
F,53
E,47
O,30
A,28
A,52
I,44
B,42
F,54
C,37
G,51
A,57
M,45
M,41
A,49
F,50
D,56
G,47
E,53
A,58
C,42
B,28
A,37
B,52
J,44
O,45
B,57
E,54
H,51
O,41
E,50
B,49
A,59
F,56
G,53
I,47
B,58
B,37
L,44
C,52
A,42
C,28
A,60
G,54
C,57
B,59
G,50
C,49
E,56
I,53
J,47
C,37
A,61
C,58
A,52
M,44
A,28
A,57
D,42
B,60
I,50
I,54
C,59
A,62
A,49
G,56
I,55
J,53
A,37
K,47
A,58
D,61
O,44
D,52
B,28
A,63
F,42
C,60
J,50
B,57
L,53
B,49
I,56
A,59
J,54
D,62
J,55
D,37
B,58
A,64
M,47
F,61
C,28
D,63
F,52
E,42
C,57
L,50
D,59
A,60
L,55
J,56
K,54
M,53
A,65
C,49
F,62
C,58
O,47
F,37
E,61
D,64
E,52
F,63
G,42
A,28
A,66
M,50
A,57
D,60
B,65
A,58
M,55
A,49
M,54
F,59
L,56
E,62
O,53
F,64
E,37
A,67
G,61
G,52
B,28
I,42
E,63
N,50
D,66
B,58
D,57
C,65
M,56
N,54
O,55
F,60
B,49
A,68
G,62
E,64
E,59
G,37
C,28
G,63
B,67
H,61
I,52
J,42
A,69
F,66
F,57
G,64
C,49
A,65
O,56
H,37
C,58
E,60
G,59
I,62
B,68
A,70
A,28
H,63
J,52
C,67
B,69
K,42
E,66
E,57
B,65
H,59
A,49
I,64
A,71
J,62
A,58
G,60
C,68
D,70
B,28
L,52
M,42
C,69
A,67
A,72
C,65
K,62
G,66
B,71
J,64
G,57
B,49
I,60
B,58
A,68
F,70
C,28
A,73
M,52
A,69
O,42
B,67
B,72
A,65
I,57
C,71
C,49
A,74
J,60
M,62
L,64
C,58
I,66
A,28
D,68
N,52
E,70
D,73
B,69
C,67
A,75
C,72
A,49
D,65
K,60
N,62
J,57
B,74
M,64
A,71
J,66
A,58
B,28
F,68
A,76
G,70
F,73
C,69
D,75
A,67
A,72
M,60
C,74
D,49
A,77
F,65
L,66
O,64
B,58
L,57
D,71
B,76
E,68
H,70
A,69
C,28
E,73
D,72
A,78
F,75
O,60
F,49
D,67
C,76
M,66
A,74
D,77
E,65
F,71
C,58
M,57
D,69
G,68
A,79
A,28
G,73
B,78
F,72
E,75
F,67
A,76
E,49
O,66
A,80
G,65
D,74
F,77
E,71
N,57
B,79
A,58
H,68
B,28
F,69
I,73
A,81
G,75
E,72
C,78
E,67
D,76
B,80
F,74
G,49
I,65
E,77
G,71
C,79
E,69
A,82
J,73
C,28
D,58
D,81
I,75
G,72
F,76
E,74
G,67
A,78
H,49
C,80
G,77
L,73
J,65
B,82
G,69
I,71
A,79
F,58
A,28
E,76
A,84
J,75
H,72
F,81
G,74
I,67
B,78
A,80
H,77
M,73
L,65
H,69
C,82
A,85
B,79
D,28
E,58
J,71
G,76
B,84
E,81
K,75
J,67
D,80
C,78
I,74
A,86
O,73
A,82
M,65
C,79
F,28
K,71
G,81
D,85
G,58
M,75
A,87
I,76
C,84
J,74
F,80
K,67
A,78
D,86
B,82
A,79
E,28
A,88
N,65
I,58
H,81
M,71
A,84
B,87
F,85
J,76
O,75
K,74
E,80
B,78
A,89
C,82
M,67
F,86
D,79
B,88
G,28
J,58
B,84
N,71
C,87
E,85
A,90
L,76
M,74
G,80
C,78
O,67
E,86
A,82
D,89
F,79
A,91
C,84
K,58
I,28
C,88
A,87
N,74
G,85
B,90
A,78
M,76
H,80
G,86
A,92
F,89
D,82
E,79
D,91
A,88
A,84
J,28
M,58
H,85
B,87
A,93
D,78
C,90
O,76
H,86
E,89
F,82
D,92
G,79
F,91
A,94
D,84
D,88
L,28
C,87
O,58
A,90
D,93
F,78
F,92
A,95
E,82
E,91
G,89
I,79
B,94
F,84
A,87
B,90
F,93
F,88
M,28
E,78
A,96
E,92
G,82
A,83
D,95
G,91
C,94
H,89
J,79
A,97
B,87
E,84
G,78
C,90
E,88
E,93
O,28
B,96
F,95
I,82
G,92
C,87
I,91
B,83
A,94
L,79
B,97
A,90
G,84
G,88
I,78
A,99
G,93
H,92
J,82
C,96
A,87
B,94
J,91
E,95
C,83
B,90
A,100
C,97
M,79
I,88
H,84
J,78
D,99
H,93
A,96
K,91
G,95
K,82
A,101
D,87
C,94
A,83
C,90
A,97
J,88
D,100
O,79
K,78
A,102
F,99
D,96
I,95
M,82
B,101
M,91
F,87
A,94
D,83
D,97
A,90
A,103
K,88
F,100
M,78
B,102
E,99
F,96
A,104
J,95
N,82
O,91
E,87
F,83
D,94
C,101
F,97
D,103
D,90
M,88
E,100
C,102
N,78
A,105
B,104
G,99
E,96
G,87
K,95
E,83
A,101
E,97
A,106
F,94
F,103
F,90
O,88
A,102
B,105
G,100
C,104
H,99
A,107
H,87
G,96
M,95
D,106
G,83
E,103
E,94
B,101
E,90
G,97
D,102
A,108
I,100
O,95
A,104
C,105
D,107
I,96
F,106
G,103
G,90
H,83
I,97
A,109
C,101
G,94
F,102
D,108
B,104
J,100
A,105
J,96
F,107
A,110
I,90
E,106
D,109
A,101
I,103
H,94
J,97
E,102
F,108
D,105
C,104
K,100
D,110
K,96
E,107
G,106
F,109
L,97
J,90
B,101
A,112
J,103
F,105
A,104
E,108
G,102
M,100
G,107
M,96
A,113
B,98
I,106
F,110
L,90
E,109
M,97
D,112
K,103
E,105
C,101
D,104
G,108
I,102
A,114
O,100
M,90
O,96
C,98
B,113
I,107
G,109
E,110
J,106
A,101
O,97
A,115
F,112
M,103
H,108
F,104
J,102
D,114
G,105
J,107
A,98
C,113
A,116
O,90
L,106
I,109
B,115
G,110
B,101
E,112
E,104
N,103
F,114
A,117
K,102
K,107
I,105
M,106
D,116
A,113
B,98
J,109
C,115
G,104
I,110
C,101
A,118
G,112
E,114
J,105
M,102
D,117
M,107
B,113
O,106
F,116
A,119
C,98
J,110
K,109
A,115
A,101
H,104
D,118
H,112
G,114
O,102
A,120
L,105
F,117
O,107
A,111
E,116
A,98
K,110
M,109
C,113
B,115
B,119
A,121
F,118
M,105
E,117
D,120
D,111
G,116
D,98
A,113
A,122
M,110
N,109
C,115
C,119
D,121
E,118
N,105
G,117
F,111
A,123
F,120
H,116
F,98
D,113
O,110
B,122
A,115
A,119
A,124
F,121
G,118
B,123
I,117
E,111
E,120
F,113
E,98
C,122
A,125
D,115
E,121
D,119
J,117
B,124
G,111
I,118
A,126
C,123
G,120
E,113
G,98
B,125
A,122
F,115
A,127
G,121
C,124
L,117
F,119
A,123
B,126
H,111
G,113
H,98
J,118
H,120
D,122
C,125
A,128
E,115
M,117
B,127
H,121
D,123
C,126
A,124
E,119
A,129
I,113
L,118
B,128
F,122
A,125
A,126
G,115
C,127
N,117
A,130
F,123
G,119
D,124
B,129
J,113
A,131
M,118
E,122
D,126
D,125
C,128
D,130
H,115
E,123
A,127
H,119
F,124
C,129
A,132
K,113
F,126
N,118
F,130
G,122
D,131
B,127
A,128
F,125
G,123
A,133
A,129
E,124
D,132
M,113
E,126
E,130
A,134
C,127
F,131
E,125
I,122
I,123
B,128
B,133
D,129
A,135
G,124
N,113
G,130
F,132
G,126
B,134
E,131
G,125
A,127
J,123
C,128
J,122
A,136
F,129
C,133
H,130
E,132
I,124
D,135
H,126
C,134
G,131
B,127
H,125
L,122
B,136
K,123
E,129
A,128
A,133
G,132
A,138
F,135
J,124
A,134
C,127
M,122
I,131
B,128
A,139
M,123
C,136
B,133
G,129
B,138
I,132
E,135
K,124
D,134
A,140
A,127
J,131
N,122
A,136
D,139
O,123
J,132
C,133
H,129
C,128
C,138
A,141
G,135
M,124
F,134
B,127
L,131
D,140
B,136
A,142
L,132
F,139
A,128
A,133
B,141
I,135
E,134
N,124
A,138
F,140
A,143
C,127
M,132
D,142
M,131
C,136
C,141
E,139
D,128
J,135
A,144
D,133
G,134
E,140
B,138
D,143
A,127
A,145
N,132
G,139
O,131
A,136
F,128
F,142
A,141
F,133
K,135
B,144
E,137
G,140
F,143
A,146
C,138
H,134
I,139
D,145
B,127
B,141
E,133
D,136
E,128
M,135
A,147
E,142
C,144
G,137
H,140
A,138
E,143
D,146
C,127
F,145
J,139
A,148
G,128
C,141
G,133
F,136
D,147
O,135
G,142
A,144
F,146
D,138
I,137
A,149
G,143
A,127
E,145
D,148
I,128
K,139
I,133
A,141
A,150
E,136
I,142
F,147
E,146
F,138
B,144
J,137
H,143
B,149
G,145
F,148
B,127
D,141
A,151
J,133
M,139
J,128
G,136
J,142
E,147
B,150
C,144
G,146
K,137
A,152
C,149
E,138
F,141
C,127
I,145
E,148
N,139
K,133
B,151
L,128
H,136
K,142
A,153
C,150
G,147
A,144
H,146
M,137
G,138
A,149
B,152
E,141
A,127
J,145
G,148
M,133
A,154
M,128
M,142
C,151
D,153
D,144
I,147
A,150
I,138
A,155
C,152
N,137
D,149
G,141
I,148
N,133
L,145
N,128
D,154
B,127
O,142
F,144
A,156
A,151
F,153
J,147
D,150
J,138
D,155
A,152
H,141
F,149
J,148
C,127
A,157
E,144
M,145
F,154
D,156
B,151
F,150
E,153
K,138
L,147
F,155
A,158
E,149
D,152
D,157
O,145
G,144
A,127
K,148
C,151
E,154
E,150
F,156
A,159
G,153
M,147
M,138
G,149
E,155
D,158
F,152
F,157
H,144
A,160
B,127
M,148
A,151
B,159
E,156
G,150
G,154
I,153
N,147
N,138
H,149
A,161
G,155
F,158
C,127
E,157
B,160
N,148
G,156
H,150
J,153
C,159
D,151
A,162
H,154
I,155
B,161
E,158
A,127
G,157
C,160
A,163
H,156
B,162
L,153
A,159
F,151
J,155
C,161
A,164
G,158
B,127
B,163
I,157
A,160
D,159
M,153
C,162
E,151
L,155
A,161
H,158
D,164
J,157
C,163
A,166
B,160
C,127
F,159
N,153
A,162
G,151
A,167
M,155
B,161
F,164
A,163
D,166
K,157
C,160
A,127
E,159
A,168
D,162
I,151
C,161
O,155
B,167
E,164
B,163
M,157
A,169
F,166
A,160
E,165
G,159
D,127
A,161
B,168
F,162
J,151
A,170
G,164
C,167
D,169
C,163
N,157
D,160
E,166
G,165
I,159
F,127
A,171
B,161
C,168
E,162
B,170
K,151
A,167
I,164
A,163
F,169
A,172
H,165
J,159
G,166
F,160
D,171
A,168
C,161
E,127
M,151
G,162
A,173
C,170
D,167
J,164
E,169
B,163
B,172
K,159
H,166
A,161
F,171
A,174
E,160
G,127
D,168
N,151
B,173
F,167
G,169
A,170
C,172
I,162
L,164
C,163
M,159
A,175
D,161
D,174
E,171
I,127
G,160
F,168
E,167
B,170
A,176
H,169
A,172
C,173
N,159
M,164
A,163
F,161
J,162
D,175
G,171
F,174
A,177
H,160
J,127
D,176
C,170
G,167
B,172
B,163
F,175
A,173
A,178
N,164
E,161
K,162
E,174
I,171
D,177
L,127
F,176
H,167
C,163
A,179
A,170
C,172
B,173
D,178
E,175
G,174
M,162
G,161
A,180
J,171
E,176
F,177
M,127
B,179
A,163
D,170
C,173
A,172
G,175
F,178
A,181
N,162
H,174
I,161
E,177
B,180
L,171
C,179
G,176
N,127
D,163
A,182
F,170
A,173
I,175
D,172
E,178
D,181
J,161
A,179
A,183
G,177
C,180
I,176
M,171
E,170
F,163
J,175
B,182
B,173
G,178
F,181
A,184
K,161
F,172
I,177
D,179
B,183
N,171
J,176
A,185
G,170
A,180
L,175
C,173
C,182
E,163
D,184
E,181
M,161
H,178
E,172
F,179
J,177
C,183
A,186
L,176
B,185
I,170
D,180
G,163
A,173
F,184
M,175
A,182
A,187
G,172
G,181
N,161
E,179
L,177
B,186
A,183
M,176
J,170
I,163
F,180
E,184
A,188
C,185
D,173
B,182
O,175
H,181
D,187
H,172
G,179
M,177
C,186
A,189
D,183
N,176
K,170
J,163
B,188
E,180
F,173
A,185
C,182
F,187
G,184
A,190
D,189
N,177
H,179
A,186
F,183
G,180
M,170
L,163
A,191
C,188
D,185
E,187
E,173
A,182
I,184
D,190
F,189
B,186
A,192
H,180
O,170
D,191
E,183
M,163
G,187
G,173
F,185
D,182
J,184
A,188
F,190
A,193
E,189
D,192
C,186
F,191
H,173
H,187
G,183
N,163
A,194
E,190
E,185
K,184
D,188
F,182
F,192
B,193
G,189
A,195
A,186
B,194
E,191
H,183
G,185
F,188
M,184
G,190
A,196
H,189
E,192
C,193
E,182
B,195
G,191
B,186
A,197
C,194
I,190
I,185
E,188
G,192
N,184
D,196
A,193
A,198
C,195
G,182
C,186
I,191
D,197
A,194
J,190
H,192
J,185
G,188
A,199
F,196
B,193
B,198
A,195
H,182
J,191
F,197
K,190
B,194
A,200
L,185
H,188
C,193
B,199
E,196
A,201
M,190
D,195
C,198
E,197
K,191
C,194
D,200
M,185
A,193
A,202
C,199
G,196
B,201
A,198
M,191
G,197
N,190
F,195
A,194
A,203
F,200
N,185
B,193
H,196
A,199
D,202
C,201
A,204
D,198
B,203
O,191
I,197
E,195
B,194
E,200
A,205
F,202
B,199
C,193
B,204
A,201
F,198
C,203
C,194
J,197
G,195
A,206
G,200
E,202
C,199
A,193
D,205
A,194
E,198
C,204
B,201
A,207
H,195
B,206
A,203
L,197
I,200
G,202
A,199
A,208
D,193
F,205
B,194
A,204
G,198
D,207
C,201
C,206
D,203
A,209
M,197
D,199
I,202
J,200
E,205
F,193
B,208
F,207
C,194
B,204
I,198
A,210
A,201
F,203
A,206
N,197
J,202
F,199
B,209
E,193
K,200
G,205
C,208
A,194
E,207
B,210
C,204
J,198
B,201
D,206
E,203
A,212
E,199
I,205
L,202
G,193
C,209
M,200
D,194
A,208
G,207
C,210
A,213
L,198
C,201
G,203
F,206
G,199
B,212
M,202
I,193
N,200
J,205
F,194
A,214
A,209
B,208
A,201
M,198
D,213
H,207
A,210
H,203
C,212
H,199
A,215
E,206
D,214
O,202
J,193
E,211
L,205
D,209
E,194
C,208
D,201
N,198
F,213
A,216
A,212
D,210
G,206
D,215
K,193
G,211
F,214
F,209
M,205
A,217
G,194
F,201
A,208
D,216
F,210
E,213
B,212
I,206
A,218
M,193
F,215
N,205
E,214
E,209
B,217
H,211
I,194
B,208
A,219
F,216
E,201
G,213
E,210
J,206
C,212
E,215
B,218
G,209
C,217
O,193
J,194
A,220
G,214
C,208
E,216
B,219
G,201
H,213
A,212
G,210
K,206
A,221
G,215
H,214
C,218
A,217
I,209
L,194
D,220
A,208
G,216
A,222
C,219
H,201
H,210
B,212
B,221
M,206
H,215
B,217
M,194
F,220
A,218
J,209
A,223
H,216
B,208
D,222
A,219
A,224
N,206
C,221
C,212
N,194
C,217
B,218
K,209
E,220
D,223
C,208
F,222
A,225
D,219
A,221
A,212
B,224
G,220
M,209
C,218
F,223
A,217
A,226
E,222
A,208
B,225
F,219
A,227
B,221
C,224
A,218
H,220
B,212
B,217
B,226
N,209
E,223
C,225
G,222
D,208
A,228
E,219
D,227
A,224
D,218
C,221
C,212
C,217
A,229
G,223
A,225
C,226
B,228
H,222
F,208
G,219
F,227
A,230
B,224
A,221
F,218
A,212
A,217
B,229
H,223
D,225
A,226
E,208
A,231
C,228
E,227
I,219
C,224
D,221
B,230
D,212
E,218
D,217
F,225
A,232
C,229
G,208
B,226
A,228
B,231
J,219
A,233
F,221
G,227
G,218
F,217
C,230
F,212
A,224
B,232
A,229
H,208
E,225
A,234
C,226
C,231
B,228
K,219
E,221
H,227
A,230
D,233
B,224
E,217
H,218
D,229
E,212
A,235
C,232
G,225
A,226
A,231
B,234
M,219
C,228
A,236
B,230
G,221
F,233
G,212
F,229
C,224
G,217
D,226
D,235
A,232
H,225
A,237
C,234
N,219
B,231
D,236
C,230
A,228
I,221
E,233
H,212
H,217
E,229
A,238
B,232
B,237
F,235
F,226
A,234
F,236
C,231
A,239
A,230
J,221
D,228
G,233
G,229
B,238
C,237
E,226
E,235
D,234
C,232
A,240
E,236
A,231
D,230
K,221
B,239
F,228
H,229
H,233
A,237
C,238
G,226
F,234
G,236
G,235
A,232
B,240
D,231
F,230
A,242
E,228
C,239
M,221
A,238
I,226
I,235
E,234
I,236
B,237
A,243
D,232
D,242
F,231
E,230
C,240
G,228
N,221
A,239
B,238
J,226
A,244
J,235
G,234
C,237
J,236
D,243
F,242
E,231
F,232
G,230
I,228
A,240
A,245
D,239
C,238
I,234
B,244
L,226
K,235
A,237
E,242
A,246
L,236
F,243
G,231
E,232
D,245
H,230
J,228
B,240
C,244
F,239
A,247
A,238
M,235
G,242
J,234
B,246
I,231
D,237
M,226
M,236
E,243
F,245
A,248
C,240
A,244
G,232
L,228
E,239
I,242
N,235
D,247
D,238
F,237
J,231
K,234
O,236
A,249
N,226
C,246
G,243
E,245
M,228
B,248
I,232
D,244
A,240
G,239
A,250
F,247
J,242
E,237
L,231
F,238
M,234
B,249
H,243
A,246
G,245
A,251
O,228
H,239
J,232
C,248
F,244
B,250
D,240
C,249
K,242
E,247
B,246
G,237
M,231
O,234
E,238
B,251
H,245
C,246
C,250
M,242
L,232
A,253
E,244
F,240
A,249
G,247
A,248
I,237
O,231
F,241
G,238
C,251
A,254
A,246
A,250
O,242
D,253
G,244
M,232
B,249
H,247
B,248
E,241
E,240
J,237
A,255
I,238
A,251
B,254
H,244
D,250
B,246
C,249
O,232
A,256
F,253
G,240
G,241
C,248
L,237
D,255
B,251
J,238
A,257
C,254
A,249
F,250
D,256
C,246
A,248
E,253
I,241
I,240
M,237
A,258
F,255
L,238
D,257
C,251
A,254
B,249
A,246
F,256
E,250
G,253
A,259
D,248
J,241
J,240
I,252
N,237
D,258
F,257
M,238
E,255
A,251
C,249
D,254
A,260
D,246
E,256
G,250
B,259
F,248
J,252
K,240
L,241
A,261
A,249
E,257
D,251
F,258
F,254
O,238
B,260
G,255
F,246
I,250
G,256
K,252
M,240
A,262
E,248
M,241
C,259
D,261
B,249
G,257
F,251
E,254
E,258
A,263
E,246
I,255
M,252
C,260
I,256
D,262
N,240
O,241
G,248
J,250
F,261
E,251
C,249
A,264
A,259
G,258
G,254
H,257
D,263
J,256
G,246
N,252
A,260
J,255
A,265
F,262
G,251
H,248
K,250
D,264
E,261
A,249
I,258
D,259
I,254
A,266
H,246
F,263
L,256
D,260
L,255
H,251
B,265
E,262
G,261
M,250
J,258
D,249
A,267
F,259
F,264
J,254
B,266
E,263
M,256
F,260
A,268
M,255
C,265
H,261
G,262
K,258
F,249
D,267
E,259
L,254
N,250
E,264
A,269
D,268
C,266
G,263
N,255
E,260
M,258
N,256
A,265
F,267
I,262
A,270
G,264
E,249
G,259
M,254
D,269
F,268
O,258
G,260
I,263
A,266
B,265
A,271
E,267
D,270
H,264
J,262
G,249
I,259
O,254
F,269
A,272
E,268
B,266
I,260
J,263
C,265
D,271
F,270
G,267
A,273
H,249
K,262
D,272
J,259
E,269
G,268
C,266
J,260
K,263
A,265
A,274
F,271
D,273
E,270
I,267
M,262
G,269
I,268
L,259
A,275
F,272
A,266
K,260
E,271
B,274
M,263
G,270
F,273
D,265
J,267
A,276
O,262
J,268
H,269
M,259
G,271
M,260
D,275
E,272
B,266
I,270
C,274
F,265
A,277
N,263
E,273
K,267
B,276
L,268
I,271
J,270
A,278
F,275
N,260
N,259
G,272
C,266
A,274
E,265
B,277
G,273
C,276
A,279
M,267
M,268
K,270
B,278
E,275
D,274
J,271
I,272
A,266
G,265
C,277
A,280
N,267
I,273
A,276
M,270
D,279
O,268
C,278
A,281
G,275
F,274
B,266
L,271
I,265
A,277
B,280
J,272
N,270
J,273
A,282
B,276
F,279
B,281
A,278
E,274
H,275
M,271
J,265
D,277
A,283
L,273
L,272
C,280
C,276
B,282
E,279
B,278
A,284
G,274
C,281
B,283
L,265
N,271
M,273
F,277
M,272
A,280
A,276
A,285
C,282
G,279
C,278
A,281
H,274
D,284
E,277
M,265
C,283
A,286
N,272
O,273
D,280
D,285
A,282
D,276
A,278
I,279
F,284
B,281
A,287
G,277
A,283
N,265
F,280
F,285
D,286
F,276
A,288
J,279
B,278
B,282
E,284
D,287
C,281
I,277
E,280
A,289
E,276
E,285
F,286
B,283
D,288
C,282
C,278
L,279
F,287
G,284
A,281
A,290
J,277
B,289
G,280
G,276
G,285
C,283
E,286
A,291
M,279
A,278
D,281
F,288
A,282
I,284
E,287
C,289
D,290
K,277
H,276
H,280
I,285
A,292
G,286
A,283
F,281
D,278
O,279
E,288
D,291
G,287
A,289
J,284
A,293
B,282
M,277
F,290
D,292
J,285
D,283
I,286
A,294
E,281
F,291
G,288
F,278
H,287
C,282
B,293
E,290
K,284
N,277
D,289
F,292
K,285
F,283
J,286
D,294
G,281
E,291
A,282
I,288
E,278
A,296
C,293
M,284
G,290
M,285
F,289
E,292
E,283
F,294
L,286
A,297
G,278
H,281
B,282
G,291
O,285
J,288
H,290
D,296
N,284
A,293
E,289
G,292
A,298
G,283
E,294
B,297
M,286
L,288
I,278
H,291
C,282
A,299
B,293
F,296
H,292
G,289
D,298
H,283
G,294
C,297
A,300
N,286
M,288
J,278
A,282
E,296
B,299
C,293
I,289
F,298
H,294
N,288
A,297
B,300
G,296
C,299
A,302
A,293
B,282
L,278
J,289
I,295
E,298
B,297
A,303
C,300
I,296
A,299
B,293
C,282
J,295
M,278
B,302
K,289
G,298
A,304
D,303
C,297
D,299
A,300
C,293
A,282
J,296
O,278
A,305
L,295
M,289
C,302
H,298
D,304
A,306
F,303
D,282
A,297
A,293
D,300
B,305
A,302
F,299
M,295
K,296
N,289
A,307
F,304
D,301
D,306
E,303
F,282
F,300
C,305
B,302
D,297
B,293
O,295
M,296
A,308
E,299
B,307
E,304
F,306
G,303
A,309
F,301
C,302
F,297
A,305
E,300
C,293
G,299
E,282
B,308
O,296
C,307
G,304
A,310
E,306
H,303
B,309
E,301
B,305
H,299
A,302
E,297
G,282
A,293
A,311
G,300
C,308
H,304
G,306
A,307
D,310
A,312
G,301
C,309
C,305
D,311
D,302
G,297
A,308
H,282
D,293
I,300
F,310
I,306
D,307
A,313
A,309
B,312
H,301
A,305
D,308
F,311
F,302
F,293
H,297
A,314
F,307
J,300
J,306
E,310
D,313
C,312
B,309
A,315
B,305
E,302
E,293
B,314
E,311
F,308
K,300
G,310
E,307
K,306
A,316
F,313
A,312
C,309
C,305
G,302
C,314
D,315
G,311
G,293
G,307
A,317
E,308
D,316
M,306
H,310
A,305
M,300
E,313
B,312
A,309
A,318
I,311
F,315
A,314
I,293
G,308
I,302
F,316
I,307
O,306
B,317
B,305
A,319
G,313
N,300
B,309
B,318
J,311
C,312
E,315
B,314
E,316
J,302
J,293
A,320
H,308
C,305
J,307
C,317
D,319
C,318
C,309
I,313
A,321
K,311
A,312
G,315
C,314
D,320
G,316
K,302
K,293
A,305
A,317
L,307
F,319
A,322
A,318
A,309
J,313
B,321
M,311
B,312
F,320
I,315
I,316
A,323
M,293
D,305
M,302
A,314
M,307
E,319
D,322
D,318
B,317
D,309
L,313
C,321
O,311
E,320
A,324
C,312
J,316
J,315
B,323
D,314
O,302
N,293
G,319
F,305
F,318
A,325
F,322
N,307
C,317
M,313
F,309
G,320
A,321
A,312
D,324
L,316
C,323
A,326
L,315
E,318
E,305
F,314
E,322
I,319
A,317
D,325
D,321
E,309
B,312
A,327
O,313
F,324
A,323
M,315
M,316
B,326
G,322
G,318
G,305
D,317
A,328
E,314
F,325
J,319
G,309
F,321
C,312
B,327
D,323
E,324
H,318
C,326
A,329
O,315
O,316
H,322
H,305
G,314
F,317
B,328
E,325
K,319
C,327
I,309
A,312
E,321
A,330
F,323
G,324
A,326
B,329
H,314
A,331
C,328
M,319
G,321
E,317
A,327
J,309
B,312
G,325
E,323
B,330
H,324
C,329
A,332
D,326
A,328
D,331
N,319
D,327
C,312
G,317
I,321
L,309
A,329
A,333
G,323
C,330
I,325
F,326
D,332
D,328
A,334
F,331
F,327
A,312
J,325
M,309
I,317
B,329
H,323
J,321
B,333
A,330
A,335
F,332
E,326
F,328
D,334
E,327
E,331
B,330
B,312
A,336
N,309
K,321
C,333
J,317
D,335
K,325
G,326
C,329
E,332
